Symbol,Name,Country,IPO Year,Volume,Sector,Industry
A,Agilent Technologies Inc. Common Stock,United States,1999,221006,Capital Goods,Electrical Products
AACQ,Artius Acquisition Inc. Class A Common Stock,United States,2020,544179,Finance,Business Services
AAL,American Airlines Group Inc. Common Stock,United States,,15753801,Transportation,Air Freight/Delivery Services
AAN,Aarons Holdings Company Inc. Common Stock ,United States,2020,74356,Miscellaneous,Diversified Commercial Services
AAON,AAON Inc. Common Stock,United States,,17941,Capital Goods,Industrial Machinery/Components
AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,United States,,188758,Consumer Services,Other Specialty Stores
AAPL,Apple Inc. Common Stock,United States,1980,56902386,Technology,Computer Manufacturing
AAT,American Assets Trust Inc. Common Stock,United States,2011,45527,Consumer Services,Real Estate Investment Trusts
AAWW,Atlas Air Worldwide Holdings NEW Common Stock,United States,,103671,Transportation,Transportation Services
AB,AllianceBernstein Holding L.P.  Units,United States,,219164,Finance,Investment Managers
ABBV,AbbVie Inc. Common Stock,United States,2012,1711407,Health Care,Other Pharmaceuticals
ABC,AmerisourceBergen Corporation Common Stock,United States,,156208,Health Care,Other Pharmaceuticals
ABCB,Ameris Bancorp Common Stock,United States,1994,64884,Finance,Major Banks
ABG,Asbury Automotive Group Inc Common Stock,United States,2002,26482,Consumer Services,Other Specialty Stores
ABM,ABM Industries Incorporated Common Stock,United States,,48215,Technology,Diversified Commercial Services
ABMD,ABIOMED Inc. Common Stock,United States,,59073,Health Care,Medical/Dental Instruments
ABNB,Airbnb Inc. Class A Common Stock,United States,2020,3427643,Capital Goods,Industrial Machinery/Components
ABR,Arbor Realty Trust Common Stock,United States,2004,513721,Consumer Services,Real Estate Investment Trusts
ABT,Abbott Laboratories Common Stock,United States,,1107964,Health Care,Medical/Dental Instruments
ABTX,Allegiance Bancshares Inc. Common Stock,United States,2015,5279,Finance,Major Banks
AC,Associated Capital Group Inc. Common Stock,United States,2015,808,Finance,Investment Bankers/Brokers/Service
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,United States,1985,378779,Health Care,Major Pharmaceuticals
ACAH,Atlantic Coastal Acquisition Corp. Class A Common Stock,United States,2021,6096,,
ACBI,Atlantic Capital Bancshares Inc. Common Stock,United States,,7080,Finance,Major Banks
ACC,American Campus Communities Inc Common Stock,United States,2004,139766,Consumer Services,Real Estate Investment Trusts
ACCD,Accolade Inc. Common Stock,United States,2020,218305,,
ACCO,Acco Brands Corporation Common Stock,United States,,173359,Consumer Services,Advertising
ACEL,Accel Entertainment Inc. ,United States,2017,74898,Consumer Services,Recreational Products/Toys
ACHC,Acadia Healthcare Company Inc. Common Stock,United States,,41372,Health Care,Hospital/Nursing Management
ACI,Albertsons Companies Inc. Class A Common Stock,United States,2020,328173,Consumer Services,Food Chains
ACIC,Atlas Crest Investment Corp. Class A Common Stock,United States,2020,610562,,
ACIW,ACI Worldwide Inc. Common Stock,United States,,229632,Technology,EDP Services
ACLS,Axcelis Technologies Inc. Common Stock,United States,2000,175062,Technology,Industrial Machinery/Components
ACM,AECOM Common Stock,United States,2007,239171,Consumer Services,Military/Government/Technical
ACMR,ACM Research Inc. Class A Common Stock,United States,2017,222122,Technology,Industrial Machinery/Components
ACND,Ascendant Digital Acquisition Corp. Class A Ordinary Shares,United States,2020,19699,Finance,Business Services
ACRE,Ares Commercial Real Estate Corporation Common Stock,United States,2012,181454,Consumer Services,Real Estate Investment Trusts
ACRS,Aclaris Therapeutics Inc. Common Stock,United States,2015,218057,Health Care,Major Pharmaceuticals
ACTC,ArcLight Clean Transition Corp. Class A Ordinary Shares,United States,2020,879822,Finance,Business Services
ACV,Virtus AllianzGI Diversified Income & Convertible Fund Common Shares of Beneficial Interest,United States,2015,9983,,
ACVA,ACV Auctions Inc. Class A Common Stock,United States,2021,276642,Technology,EDP Services
ADBE,Adobe Inc. Common Stock,United States,1986,684927,Technology,Computer Software: Prepackaged Software
ADC,Agree Realty Corporation Common Stock,United States,,47302,Consumer Services,Real Estate Investment Trusts
ADER,26 Capital Acquisition Corp. Class A Common Stock,United States,2021,4461,,
ADI,Analog Devices Inc. Common Stock,United States,,1638858,Technology,Semiconductors
ADM,Archer-Daniels-Midland Company Common Stock,United States,,466653,,
ADP,Automatic Data Processing Inc. Common Stock,United States,,554931,Miscellaneous,Business Services
ADPT,Adaptive Biotechnologies Corporation Common Stock,United States,2019,368564,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADS,Alliance Data Systems Corporation Common Stock,United States,2001,174204,Finance,Diversified Financial Services
ADSK,Autodesk Inc. Common Stock,United States,,309735,Technology,Computer Software: Prepackaged Software
